Key,Value,Origin
виндсёрфинг,"— windsurfing: wind «ветер» +‎ surf «волна, прибой»",Из английского
Винни-Пух,"— Winnie the Pooh, по имени медвежонка Винни (сокр. Виннипег), и прозвища Пух",Из английского
вокзал,"— Vauxhall, из франц. по имени владения Иоанна Безземельного (1167–1216) — Faulke’s Hall (Vauxhall)",Из английского
волейбол,— volleyball: volley «залп» + ball «мяч»,Из английского
вуду,"— voodoo, из языка эве vódũ «идол», фон vodū «фетиш», ква vodũ",Из английского
гаджет,"— gadget «устройство, приспособление», от франц. gâchette «гашетка, затвор» или gagée «гарантия, пари»",Из английского
галлон,"— gallon, от ст.-франц. galun «жидкая мера», из позднего лат. galum, galus «мера вина», из вульг. лат. *galla «сосуд», возможно из гэльского, окончательно из индоевроп. *kel- «бокал»",Из английского
гандбол,— handball: hand «рука» + ball «мяч»,Из английского
гей,", -бар , -клуб — gay, из ст.-франц. gai «радостный, весёлый», из ст.-прован. gai «живой, подвижный», из готского gaheis (𐌲𐌰𐌷𐌴𐌹𐍃) «пылкий, порывистый», из франкск. *gāhi и прагерман. *ganhuz, *ganhwaz «внезапный», от индоевроп. *ǵʰengʰ- «шагать» и *ǵʰēy- «идти»",Из английского
гейм,— game «игра»,Из английского
гёрлфренд,— girlfriend: girl «девочка» + friend «друг»,Из английского
гипермаркет,— hypermarket: из др.-греч. hyper «большой» + market «рынок»,Из английского
гол,"— goal «цель, », из др.-англ. *gal «препятствие»",Из английского
голкипер,"— goalkeeper: goal «гол» + keeper «смотритель, хранитель»",Из английского
гольф,"— golf, из ср.-нидерл. colve, colf «клуб», из прагерм. *kulbô «клуб»",Из английского
грант,"— grant, из ст.-франц. granter, graunter «обещать», от garantir «гарантировать», из лат. *credentāre, от credere «верить»",Из английского
грейдер,"— grader, от grade «сорт, ранг»",Из английского
грейпфрут,— grapefruit: grape «виноград» + fruit «плод»,Из английского
гризли,"— grizzly, от grizzle «седеть, сереть», из франц. gris «серый»",Из английского
дайвинг,"— diving, от dive «нырять»",Из английского
дайджест,"— digest «усваивать, переваривать», из лат. digesta, digero «разделять»",Из английского
демпинг,"— dumping, от dump «сбрасывать», из др.-норв. dumpa «ударять, бухать»",Из английского
денди,"— dandy, из шотл. dandy «щёголь», возможно, уменьш. от Andrew",Из английского
дефолт,"— default «неуплата», из ст.-франц. defaute, из лат. de- «не, прочь» + лат. fallo «обмануть»",Из английского
джаз,— jazz «энергия»,Из английского
джаз-банд,"— jazz band: jazz « джаз » + band «группа», от beand, bænd «связь, полоска», из прагерм. *bandą, *bandiz «оковы, связь», из индоевроп. *bʰendʰ-",Из английского
джем,— jam «замес»?,Из английского
джемпер,"— jumper, от jump «короткое пальто» (в жаргоне моряков), вероятно, от шотл. jupe «мужская туника», через ст.-франц, из араб. جوبة (jibba)",Из английского
джентльмен,"— gentleman: gentle «вежливый», от лат. gentilis «того же семейства» и gens «род» + man «человек, мужчина»",Из английского
джин,"— gin, сокр. geneva или из нидерл. genever «Юпитер», из ст.-франц. genevre и лат. iūniperus",Из английского
джинсы,"— jeans, от франц. jean fustian, от франц. названия города Gênes «Генуя» от лат. Genua",Из английского
джойстик,"— joystick: joy «радость, утеха» + stick «ручка, палка»",Из английского
джокер,"— joker, от joke «шутить»",Из английского
джоуль,"— joule, по имени англ. физика Джеймса Прескотта Джоуля (James Prescott Joule, 1818–1889)",Из английского
джунгли,"— jungle, из хинди जंगल ‎(jaṅgal), из санскрита जङ्गल ‎(jaṅgala) «засушливый»",Из английского
диджей,"— DJ, сокр. от disc jockey «диск-жокей»",Из английского
дизайн,", ер — design, из ст.-франц. designer, из лат. designō «я помечаю»: de- + signō «я отмечаю»",Из английского
дилер,"— dealer «торговец», от deal, из др.-англ. dælan «делить»",Из английского
дискурс,"— discourse, из лат. discursus «беготня, суета»",Из английского
диспетчер,"— dispatcher, от dispatch «высылать, выполнять»",Из английского
дисплей,"— display, из ст.-франц. despleier, из лат. displicare «раскрывать»: dis- (отдельно) + plicare «свернуть»",Из английского
дистрибьютер,"— distributor, от distribute «распределять», из лат. dis- «кроме, раз-» + tribuere «давать»",Из английского
дог,"— dog «собака», из ст.-англ. docga, уменьш. от *docce «мышцы»",Из английского
доллар,"— dollar, из нем. thaler «талер», от thal «долина», по названию Saint Joachim’s thaler «из долины святого Иоахима»",Из английского
допинг,"— doping, от dope «одурманивать»",Из английского
жокей,— jockey «наездник»,Из английского
имидж,— image «образ»,Из английского
импеданс,"электрический — impedance «сопротивление», из лат. impedire «препятствовать»",Из английского
импичмент,"— impeachment, от impeach «оспаривать», из лат. impedicāre «я заковываю»",Из английского
инсайдер,"— insider, от inside «внутри»",Из английского
интервью,"— interview, от англо-норман. entreveue, entrevëoir: entre- (в) + vëoir «смотреть»",Из английского
Интернет,"— internet «межсетевой», сокр. от internetwork: inter- «между» + network «сеть»",Из английского
интернет-провайдер,— internet provider: Интернет + provider «провайдер»,Из английского
интерфейс,"— interface «поверхность раздела, связующее звено»",Из английского
интерферон,"— interferon, от interfere «вмешиваться, сталкиваться», из ст.-франц. entreferir: entre- (в) + ferir «ударить», из лат. ferio",Из английского
Йоркшир,"— Yorkshire, из ст.-англ. Eoforwīcscīr: Eoforwīc «Йорк» +‎ scīr «графство»",Из английского
камео,"— cameo, из итал. cammeo, лат. cammaeus «миниатюрный»",Из английского
кантри,"— country (music), скор. от country and western «деревенский и ковбойский»",Из английского
кастинг,"— casting, от cast «выбор», от ср.-англ. casten, из др.-сканд. kasta «бросать, опрокидывать»",Из английского
катер,"— cutter «резец», из нидерл. kater",Из английского
кварк,"— quark, из романа Дж. Джойса «Поминки по Финнегану», где в одном из эпизодов звучит фраза «Three quarks for Muster Mark!» (обычно переводится как «Три а для мистера Марка!»)",Из английского
кейс,"— case, из ст.-франц. casse, из лат. capsa «коробка»",Из английского
кекс,— cakes «пирожное»,Из английского
керосин,"— kerosene, из др.-греч. κηρός ‎(kērós) «воск» + alkene «алкин»",Из английского
кикбоксинг,"— kickboxing: kicking «пинать, бить ногами» + boxing « бокс »",Из английского
киллер,"— killer, от kill «убивать»",Из английского
килт,"— kilt, из датского kilt «заправить», шведского kilta «обернуть», из др.-норв. kjalta «юбка, подол»",Из английского
кластер,"— cluster, от прагерм. *klus-, *klas- «группироваться, слипаться»",Из английского
клик,", ать — click «щелкать, щелчок», звукоподражат.",Из английского
клозет,— closet от франц. closet «запирающаяся комната»,Из английского
клоун,"— clown «простак, изначально — деревенщина»",Из английского
клуб,"— club, из др.-норв. klubba, klumba «дубина», из прагерм. *klumpô «зажим, шишка», из индоевроп. *glemb-, *glembʰ- «колода, брусок»",Из английского
клумба,— clump «небольшая группа растений»,Из английского
ковбой,— cowboy: cow «корова» + boy «мальчик»,Из английского
кокс,"— coke, ср.-англ. colke",Из английского
коктейль,— cocktail: cock «петух» + tail «хвост»,Из английского
колледж,"— college, из ст.-франц. college, и лат. collegium",Из английского
колумнист,"— columnist «корреспондент, обозреватель», от лат. columna «столб»",Из английского
комбайн,"— combine, из франц. combiner, из лат. combīnāre, combīnō «объединиться»: com- «с» + bīnī «по два»",Из английского
компьютер,"— computer, от compute, из франц. computer, из лат. computare «сосчитать»: com «с» + putare «считать», от putus «прояснять»",Из английского
конвейер,"— conveyor, от convey «передавать», от лат. convia: con «с» + via «путь»",Из английского
кондиционер,— (air) conditioner: air «воздух» + condition «состояние»,Из английского
кондом,"— condom, из итал. guantone, от guanto «перчатка»",Из английского
констебль,"— constable, из франц. conestable, из лат. comes stabulī «офицер конюшни»",Из английского
контейнер,"— container, от contain «содержать», из лат. continere: con- «с» + teneō «держать»",Из английского
концерн,"— concern, от франц. concerner, из лат. concernō «я выделяю, предпочитаю»: con- «с-» + cernō «выделять»",Из английского
коп,"— cop, от copper «медь; полицейский»",Из английского
копирайтер,"— copywriter: copy « копия » и англ. writer «писатель, автор»",Из английского
копия,"— copy, от ср.-англ. copie, из ст.-франц. copie «изобилие, дубликат», из лат. copia: co- + ops, opis «мощность, ресурсы»",Из английского
корт,"— court, из франц. cort, curt, из лат. cortem «двор, площадка, суд»",Из английского
коттедж,"— cottage, из ст.-франц. cot, cote «хижина», из др.-норв. kot «изба»",Из английского
крекер,"— cracker, от crack «раскалывать»",Из английского
крикет,"— cricket, из нидерл. krik «бить рикошетом»",Из английского
кросс,", овый — cross «через»",Из английского
кроссворд,"— cross «крест, через» + word «слово»",Из английского
круиз,"— cruise, из kruisen «пересечь», из kruis «крест», из лат. crux",Из английского
кэш,— cache «наличка»,Из английского
лазер,"— laser, акроним выражения light amplification by stimulated emission of radiation",Из английского
лайнер,"— liner, от line «тянуть, проводить линию»",Из английского
ланч,"— lunch, сокр. от luncheon, от lump «комок» и nuncheon «обеденные напитки»",Из английского
лидер,"— leader «тот, кто ведёт», от lead «вести», из зап.-герм. *laithjan",Из английского
лизинг,"— leasing, от lease «брать в аренду»",Из английского
линк,"— link «связь, узы»",Из английского
лифт,"— lift «поднимать», от ст.-англ. lyft «атмосфера, воздух», из прагерм. *luftuz, *luftą «крыша, небо», из индоевроп. *lewp- «облезть, портиться»",Из английского
лобби,"— lobby «коридор», от средневек. лат. lobium «галерея», от др.-в.-нем. louba «крыльцо»",Из английского
лоббист,"— lobbyist, от лобби",Из английского
лобстер,"— lobster, от лат. locusta «омар»",Из английского
логин,"— login, от log «вносить в журнал» из logbook «вахтенный журнал» + англ. in «в»",Из английского
лорд,"— lord, от ст.-англ. hlāford, hlāfweard: hlāf «хлеб» + weard «охранник»",Из английского
лузер,"— loser, от lose «проигрывать, уступать», от прагерм. формы *lausa",Из английского
луна-парк,— Luna Park,Из английского
маркетинг,"— marketing, от market «рынок»",Из английского
масс-медиа,— mass media: mass «массовый» + media «средства информации»,Из английского
матч,"— match, от ст.-англ. mæċċa, ġemaca «спутник», из прагерм. *makkô",Из английского
медиа,— media «средства информации»,Из английского
мейл,— mail «(электронная) почта»,Из английского
менеджер,"— manager, от менеджмент",Из английского
менеджмент,"— management, из manage «руководить», из итал. maneggiare, из лат. manus «рука»",Из английского
мерчендайзер,"— merchandiser, от мерчендайзинг",Из английского
мерчендайзинг,"— merchandising, от merchandise, из англо-норман. marchaundise, marchaunt «торговец, купец»",Из английского
месседж,"— message «отправление, посыл», из поздн. лат. missaticum, из лат. mittere «отправить»",Из английского
метал,— metal «л»,Из английского
микропроцессор,"— microprocessor: лат. micro- «малый» +‎ processor, от процессор",Из английского
микрочип,— microchip: из лат. micro «малый» + chip «кусочек»,Из английского
миксер,"— mixer, от mix «смешивать»",Из английского
миледи,— milady: my «моя» + lady «дама»,Из английского
милорд,— milord: my «мой» + lord «господин»,Из английского
мисс,"— Miss «барышня», уменьш. mistress",Из английского
миссис,— mistress «госпожа»,Из английского
мистер,"— mister «господин», от master «хозяин»",Из английского
митинг,"— meeting, от meet «встречаться»",Из английского
мичман,— midshipman «гардемарин»: midship «среднее сечение судна» + man «человек»,Из английского
модем,"— modem, сокр. modulator-demodulator, от modulate «регулировать», от лат. modulus «измерение»",Из английского
монитор,"— monitor, от лат. monitor «надсмотрщик»; из monere «обращать внимание»",Из английского
мониторинг,"— monitoring, из монитор",Из английского
мотель,"— motel, аббревиатура от motor «мото» +‎ hotel «отель»",Из английского
мультимедиа,— multimedia: multi «много» + media «медиа»,Из английского
мультиплекс,"— multiplex «кинокомплекс»: multi «много» + plex, от лат. plectere «плести»",Из английского
мюзикл,"— musical «музыкальный», от лат. musicalis, из др.-греч. μουσικός ‎(mousikós)",Из английского
напалм,"— napalm, сокр. na(phthenic) palm(itic) acid «нафтеновая пальмитиновая кислота»",Из английского
НАСА,"— NASA, акроним от National Aeronautics and Space Administration «Национальное управление по аэронавтике и исследованию космоса»",Из английского
НАТО,"— NATO, акроним от North Atlantic Treaty Organisation «Организация Североатлантического договора»",Из английского
небоскрёб,"— калька от skyscraper: sky «небо» + scraper, от scrape «скрести»",Из английского
нейлон,— nylon «полиамид компании DuPont»,Из английского
ник,"— nick(name), из ср.-англ. ekename: eke «дополнительное» + name «имя»",Из английского
ниппель,— nipple «сосок»,Из английского
нокаут,"— knockout: knock «бить» + out «наружу, за пределы»",Из английского
нокдаун,— knockdown: knock «бить» + down «вниз»,Из английского
ноу-хау,— know-how: know «знать» + how «как»,Из английского
ноутбук,— notebook: note «заметка» + book «книга»,Из английского
Нью-Йорк,"— New York: new «новый» + York, от др.-норв. Jórk, Jórvík, из ст.-англ. Eoforwīċ, из лат. Eborācum, от eburo «тис, чёрная ольха»",Из английского
ньюзмейкер,— newsmaker: news «новости» + maker «производитель»,Из английского
овертайм,— overtime: over- «сверх» +‎ time «время»,Из английского
окей,"— okay = OK, от неправильного oll korrect «всё нормально»",Из английского
онлайн,"— online, on-line: on «на» + line «линия»",Из английского
офис,", ный — office, от лат. officium «услуга, обязанность», из opificium «работа»: ops (opis) «мощь, помощь» + opus «работа»",Из английского
офлайн,"— offline, off-line: off «вне» + line «линия»",Из английского
офсайд,— offside: off «вне» + side «сторона»,Из английского
офшор,— offshore: off «вне» + shore «берег»,Из английского
пазл,"— puzzle, от pusle «запутывать»",Из английского
панк,"— punk «гнилая древесная пыль, использованная, как трут»",Из английского
паркинг,"— parking, от park «территория», от лат. parcus, из франкск. *parrik «ость, остов»",Из английского
пейджер,"— pager, от page «нумеровать страницы»",Из английского
пейнтбол,— paintball: paint «красить» + ball «мяч»,Из английского
пенальти,"— penalty «наказание», из франц. pénalité, pénal «уголовник, преступник», из лат. poena «наказание»",Из английского
пенни,", пенс — penny, pence, от ст.-англ. penning, penniġ, из прагерман. *panningaz «монета»",Из английского
пепси,"— Pepsi, от pepsin «н» (один из ингредиентов)",Из английского
пептид,"— peptide, от πεπτός ‎(peptós) «переваренный»",Из английского
пиар,"— PR, сокр. public «общественность» + relation «связь, отношение»",Из английского
пиджак,"— pea jacket «пилота» + «жакет», от нидерл. pijjekker",Из английского
пикап,— pickup: pick «поднимать» +‎ up «вверх»,Из английского
пикник,"— picnic, от франц. pique-nique «подобрать + мелочь»",Из английского
пиксел,"— pixel, сокр. от picture «изображение» + element «элемент»",Из английского
пирсинг,"— piercing, от pierce «проколоть»",Из английского
пит-стоп,— pit stop: pit «яма» + stop «остановка»,Из английского
плагин,— plug in «подключать»,Из английского
плед,"— plaid, из шотл. plaid, ply, из гэльского plaide «одеяло, попона»",Из английского
плей-офф,— play-off: play «игра» + off «вне»,Из английского
подкастинг,"— podcasting: iPod « айпод » +‎ broadcast «вещать, транслировать»",Из английского
пойнтер,"— pointer, от point «точка»",Из английского
покер,"— poker, от poke «тыкать»",Из английского
поп,"— pop, сокр. popular «улярный»",Из английского
попкорн,"— popcorn, сокр. popped «треснувшая» corn «кукуруза»",Из английского
порт,"— port «гавань», из лат. portus",Из английского
пост,"(сообщение) — post «послать, отправить»",Из английского
постер,"— poster «плакат», из post «столб», из ст.-франц. post, из лат. postis «столб, устой»",Из английского
постинг,— posting «написание постов »,Из английского
прайд,"— pride «слава, гордость, вожделение», от ст.-англ. prūd «гордый»",Из английского
прайм-тайм,"— prime time: prime «весна, начало, зарождение» + time «время»",Из английского
праймер,"— primer, от англо-норм. primer «первый», из лат. prīmārius",Из английского
прайслист,— price list: price «цена» + list «список»,Из английского
превью,— preview: pre- «пред» + view «смотреть»,Из английского
пресс-релиз,— press release: press «пресса» + release «выпуск»,Из английского
пресс-секретарь,"— press secretary: press «пресса» + лат. secretarius, secretus «тайна»",Из английского
принтер,"— printer, от print «печатать»",Из английского
провайдер,"— provider «поставщик», от provide «обеспечивать», из лат. providere «предвидеть»",Из английского
продюсер,"— producer, от produce «производить»",Из английского
промоутер,"— promoter, из promote «рекламировать», из лат. prōmōtus «расширенный, перемещённый»",Из английского
процессор,"— processor, от process, из ст.-франц. procés «поездка»",Из английского
пудинг,"— pudding, от ср.-англ. poding «колбаса в виде фаршированного желудка», из ст.-франц. boudin «кровяная колбаса»",Из английского
пул,"— pool, от ст.-англ. pōl «лужа», из прагерм. *pōlaz «пруд»",Из английского
пуловер,— pullover: pull «тянуть» +‎ over «над»,Из английского
пульсар,"— pulsar, сокр. от pulsating «пульсирующая» +‎ star «звезда»",Из английского
пуританин,"— Puritan, от лат. puritas «чистота»",Из английского
радар,"— radar, сокращение выражения Radio Detecting and Ranging",Из английского
ралли,"— rally «сплачивать, собирать», из франц. rallier «воссоединять»",Из английского
раунд,"— round «круг», из ст.-франц. ront, runt, из лат. rotundus «круг»",Из английского
реалити-шоу,"— reality show, сокр. от reality «настоящая» + television «телевизионная» + program «передача»",Из английского
регби,"— rugby, от Rugby — названия города в Англии (Рагби, графство Уорикшир) и одноимённой мужской привилегированной частной средней школы",Из английского
регги,"— reggae, из ямайского англ. rege «раздоры, ругань»",Из английского
рейд,"— raid «набег, облава»",Из английского
рейтинг,"— rating «оценка», от rate «оценивать»",Из английского
рекорд,"— record «крайнее значение, запись», от ст.-франц. recorder «регистрировать»",Из английского
рекордсмен,— recordsman: record « рекорд » + man «человек»,Из английского
рельс,"— rail, от ст.-франц. reille «брусок», из вульг. лат. *regla, из лат. regula «прямая палка»",Из английского
респондент,"— respondent, от respond «отвечать», из лат. respondēre",Из английского
рефери,"— referee, от ст.-франц. referer «относиться», из лат. referre «уведомлять, отнести»",Из английского
римейк,— remake: re- «пере» + make «делать»,Из английского
ринг,"— ring «кольцо, круг»",Из английского
риэлтор,"— realtor «агент по недвижимости», от real «недвижимость»",Из английского
рок,", -группа — rock (music), от rock and roll «-н-ролл» + music «музыка»",Из английского
рок-н-ролл,"— rock and roll: rock «качаться, шататься» + roll «кататься, вращаться»",Из английского
ром,"— rum, от rumbullion «большой шум и гам» или от датского roemer «бокал» или сокр. от лат. saccharum «сахар» или от франц. arôme «аат»",Из английского
роуминг,"— roaming, от roam «странствовать»",Из английского
рэкет,", ир — racket и racketeer, от диал. rattick «грохот»",Из английского
рэп,— rap «лёгкий стук»,Из английского
саммит,"— summit, из ст.-франц. sommette, уменьш. от som «вершина холма», из лат. summum",Из английского
сандвич,"( сэндвич ) — sandwich, по имени создателя графа Джона Сандвича Монтегю (1718–1792), от sand «песок» + wīc «поселение, хутор»",Из английского
саундтрек,— soundtrack: sound «звук» + track «дорожка»,Из английского
свитер,"— sweater, от sweat «преть, потеть»",Из английского
сейнер,"— seiner, от seine «ловить неводом»",Из английского
сейф,"— safe, от франц. sauf, из лат. salvus «целый, сохранённый»",Из английского
секвойя,"— sequoia, от имени вождя индейцев чероки Ssiquayi",Из английского
секс,"— sex, от sexual intercourse «уальные отношения», из лат. sexus «пол»",Из английского
сексапильный,— sex appeal: sex «сексуально» + appeal «привлекательный»,Из английского
селфи,"— selfie, от self «себя» (существует в англ. языке с 2002)",Из английского
сервер,"— server, от serve «обслуживать»",Из английского
сёрфинг,"— surfing, от surf «гребень волны, прибой»",Из английского
сет,— set «набор»,Из английского
сеттер,"— setter, от set «застыть»",Из английского
сиквел,"— sequel «эпилог, продолжение»",Из английского
сингл,— single «единственное (исполнение)»,Из английского
сити,"— city, из франц. cité, из лат. cīvitās «горожане», от civis «граждане»",Из английского
сканер,"— scanner, от scan «рассматривать, изучать»",Из английского
сквер,— от square «квадрат (очерченный стенами окружающих домов)»,Из английского
скейтборд,— skateboard: skate «коньки» + board «доска»,Из английского
скрининг,"— screening «отбор, экран», из screen «отбирать, обследовать»",Из английского
скриншот,"— screenshot: screen «экран» + shot «выстрел, бросок, снимок фото»",Из английского
скутер,— scooter «самокат»,Из английского
слайд,"— slide, из ст.-англ. slīdan «скользить», из прагерм. *slīdaną, из индоевроп. *sleydʰ- «скользить»",Из английского
сленг,"— slang «жаргон», возможно, из др.-норв. или исланд. slyngva (slengja) «праща»",Из английского
слэш,"— slash «рубка, сеча», от франц. esclachier «рубить»",Из английского
смайлик,— smiley «улыбочка»,Из английского
смог,"— smog, от smoke «дым» +‎ fog «туман»",Из английского
смокинг,"— smoking (jacket), от smoke «курить»",Из английского
снайпер,"— sniper, от snipe «стрелять из укрытия»",Из английского
сноб,— snob «ученик сапожника; подмастерье»,Из английского
сноуборд,— snowboard: snow «снег» +‎ board «доска»,Из английского
сноубординг,"— snowboarding, от сноуборд",Из английского
сорри,— sorry «извинять»,Из английского
спам,"— spam, от марки мясных консервов, реклама которых успела надоесть многим (от spiced ham)",Из английского
спамер,"— spammer, от спам",Из английского
спидометр,— speedometer: speed «скорость» + лат. meter «замерять»,Из английского
спикер,— speaker «говорящий»,Из английского
спин,— spin «вращение»,Из английского
спиннинг,"— spinning, от спин",Из английского
спич,— speech «речь»,Из английского
спичрайтер,"— speechwriter: speech «речь» + writer «писатель, автор»",Из английского
